keyword	protein_len	blast_species	pr_count
strictest	50-100	Bacteria	14
strictest	50-100	Homo_sapiens	181
strictest	50-100	nonHuman_Primates	278
strictest	50-100	nonMammal_Metazoa	32
strictest	50-100	nonPrimates_mammals	167
strictest	50-100	otherSum	9
strictest	<= 50	Bacteria	10
strictest	<= 50	Homo_sapiens	35
strictest	<= 50	nonHuman_Primates	75
strictest	<= 50	nonMammal_Metazoa	9
strictest	<= 50	nonPrimates_mammals	66
strictest	<= 50	otherSum	1
strictest	>500	Bacteria	0
strictest	>500	Homo_sapiens	501
strictest	>500	nonHuman_Primates	203
strictest	>500	nonMammal_Metazoa	2
strictest	>500	nonPrimates_mammals	37
strictest	>500	otherSum	5
strictest|pepquery	100-200	Bacteria	10
strictest|pepquery	100-200	Homo_sapiens	415
strictest|pepquery	100-200	nonHuman_Primates	409
strictest|pepquery	100-200	nonMammal_Metazoa	22
strictest|pepquery	100-200	nonPrimates_mammals	212
strictest|pepquery	100-200	otherSum	13
strictest|pepquery	200-500	Bacteria	1
strictest|pepquery	200-500	Homo_sapiens	784
strictest|pepquery	200-500	nonHuman_Primates	485
strictest|pepquery	200-500	nonMammal_Metazoa	10
strictest|pepquery	200-500	nonPrimates_mammals	141
strictest|pepquery	200-500	otherSum	7
strictest|pepquery	50-100	Bacteria	14
strictest|pepquery	50-100	Homo_sapiens	170
strictest|pepquery	50-100	nonHuman_Primates	260
strictest|pepquery	50-100	nonMammal_Metazoa	28
strictest|pepquery	50-100	nonPrimates_mammals	161
strictest|pepquery	50-100	otherSum	9
strictest|pepquery	<= 50	Bacteria	8
strictest|pepquery	<= 50	Homo_sapiens	31
strictest|pepquery	<= 50	nonHuman_Primates	69
strictest|pepquery	<= 50	nonMammal_Metazoa	9
strictest|pepquery	<= 50	nonPrimates_mammals	60
strictest|pepquery	<= 50	otherSum	1
strictest|pepquery	>500	Bacteria	0
strictest|pepquery	>500	Homo_sapiens	495
strictest|pepquery	>500	nonHuman_Primates	199
strictest|pepquery	>500	nonMammal_Metazoa	2
strictest|pepquery	>500	nonPrimates_mammals	37
strictest|pepquery	>500	otherSum	5
stringent	100-200	Bacteria	35
stringent	100-200	Homo_sapiens	966
stringent	100-200	nonHuman_Primates	881
stringent	100-200	nonMammal_Metazoa	46
stringent	100-200	nonPrimates_mammals	404
stringent	100-200	otherSum	22
stringent	200-500	Bacteria	6
stringent	200-500	Homo_sapiens	1717
stringent	200-500	nonHuman_Primates	1058
stringent	200-500	nonMammal_Metazoa	19
stringent	200-500	nonPrimates_mammals	326
stringent	200-500	otherSum	12
stringent	50-100	Bacteria	64
stringent	50-100	Homo_sapiens	396
stringent	50-100	nonHuman_Primates	598
stringent	50-100	nonMammal_Metazoa	61
stringent	50-100	nonPrimates_mammals	321
stringent	50-100	otherSum	18
stringent	<= 50	Bacteria	41
stringent	<= 50	Homo_sapiens	71
stringent	<= 50	nonHuman_Primates	200
stringent	<= 50	nonMammal_Metazoa	25
stringent	<= 50	nonPrimates_mammals	111
stringent	<= 50	otherSum	4
stringent	>500	Bacteria	0
stringent	>500	Homo_sapiens	1106
stringent	>500	nonHuman_Primates	419
stringent	>500	nonMammal_Metazoa	5
stringent	>500	nonPrimates_mammals	85
stringent	>500	otherSum	10
stringent|pepquery	100-200	Bacteria	21
stringent|pepquery	100-200	Homo_sapiens	835
stringent|pepquery	100-200	nonHuman_Primates	751
stringent|pepquery	100-200	nonMammal_Metazoa	35
stringent|pepquery	100-200	nonPrimates_mammals	334
stringent|pepquery	100-200	otherSum	18
stringent|pepquery	200-500	Bacteria	4
stringent|pepquery	200-500	Homo_sapiens	1522
stringent|pepquery	200-500	nonHuman_Primates	936
stringent|pepquery	200-500	nonMammal_Metazoa	16
stringent|pepquery	200-500	nonPrimates_mammals	286
stringent|pepquery	200-500	otherSum	11
stringent|pepquery	50-100	Bacteria	45
stringent|pepquery	50-100	Homo_sapiens	325
stringent|pepquery	50-100	nonHuman_Primates	461
stringent|pepquery	50-100	nonMammal_Metazoa	51
stringent|pepquery	50-100	nonPrimates_mammals	274
stringent|pepquery	50-100	otherSum	13
stringent|pepquery	<= 50	Bacteria	21
stringent|pepquery	<= 50	Homo_sapiens	50
stringent|pepquery	<= 50	nonHuman_Primates	143
stringent|pepquery	<= 50	nonMammal_Metazoa	20
stringent|pepquery	<= 50	nonPrimates_mammals	94
stringent|pepquery	<= 50	otherSum	3
stringent|pepquery	>500	Bacteria	0
stringent|pepquery	>500	Homo_sapiens	996
stringent|pepquery	>500	nonHuman_Primates	373
stringent|pepquery	>500	nonMammal_Metazoa	4
stringent|pepquery	>500	nonPrimates_mammals	74
stringent|pepquery	>500	otherSum	10
