keyword	pride_group	gencode_loc	pr_count
relaxed|pepquery	Organism part,cancer,cell line	All_transcript_coding	1669
relaxed|pepquery	Organism part,cancer,cell line	All_transcript_noncoding	180
relaxed|pepquery	Organism part,cancer,cell line	other	386
relaxed|pepquery	Organism part,cell line	All_CDS	51
relaxed|pepquery	Organism part,cell line	All_UTR	147
relaxed|pepquery	Organism part,cell line	All_exon_coding	323
relaxed|pepquery	Organism part,cell line	All_exon_noncoding	228
relaxed|pepquery	Organism part,cell line	All_intergene	487
relaxed|pepquery	Organism part,cell line	All_intron	1154
relaxed|pepquery	Organism part,cell line	All_transcript	7
relaxed|pepquery	Organism part,cell line	All_transcript_coding	795
relaxed|pepquery	Organism part,cell line	All_transcript_noncoding	77
relaxed|pepquery	Organism part,cell line	other	128
relaxed|pepquery	cancer	All_CDS	57
relaxed|pepquery	cancer	All_UTR	355
relaxed|pepquery	cancer	All_exon_coding	300
relaxed|pepquery	cancer	All_exon_noncoding	287
relaxed|pepquery	cancer	All_intergene	1096
relaxed|pepquery	cancer	All_intron	2553
relaxed|pepquery	cancer	All_transcript	17
relaxed|pepquery	cancer	All_transcript_coding	985
relaxed|pepquery	cancer	All_transcript_noncoding	108
relaxed|pepquery	cancer	other	196
relaxed|pepquery	cancer,cell line	All_CDS	27
relaxed|pepquery	cancer,cell line	All_UTR	144
relaxed|pepquery	cancer,cell line	All_exon_coding	241
relaxed|pepquery	cancer,cell line	All_exon_noncoding	178
relaxed|pepquery	cancer,cell line	All_intergene	431
relaxed|pepquery	cancer,cell line	All_intron	1047
relaxed|pepquery	cancer,cell line	All_transcript	6
relaxed|pepquery	cancer,cell line	All_transcript_coding	546
relaxed|pepquery	cancer,cell line	All_transcript_noncoding	40
relaxed|pepquery	cancer,cell line	other	118
relaxed|pepquery	cell line	All_CDS	128
relaxed|pepquery	cell line	All_UTR	574
relaxed|pepquery	cell line	All_exon_coding	755
relaxed|pepquery	cell line	All_exon_noncoding	553
relaxed|pepquery	cell line	All_intergene	1855
relaxed|pepquery	cell line	All_intron	4330
relaxed|pepquery	cell line	All_transcript	32
relaxed|pepquery	cell line	All_transcript_coding	2035
relaxed|pepquery	cell line	All_transcript_noncoding	200
relaxed|pepquery	cell line	other	418
strictest	Organism part	All_CDS	14
strictest	Organism part	All_UTR	8
strictest	Organism part	All_exon_coding	87
strictest	Organism part	All_exon_noncoding	34
strictest	Organism part	All_intergene	19
strictest	Organism part	All_intron	48
strictest	Organism part	All_transcript	1
strictest	Organism part	All_transcript_coding	188
strictest	Organism part	All_transcript_noncoding	9
strictest	Organism part	other	40
strictest	Organism part,cancer	All_CDS	11
strictest	Organism part,cancer	All_UTR	6
strictest	Organism part,cancer	All_exon_coding	101
strictest	Organism part,cancer	All_exon_noncoding	40
strictest	Organism part,cancer	All_intergene	28
strictest	Organism part,cancer	All_intron	49
strictest	Organism part,cancer	All_transcript	8
strictest	Organism part,cancer	All_transcript_coding	178
strictest	Organism part,cancer	All_transcript_noncoding	6
strictest	Organism part,cancer	other	31
strictest	Organism part,cancer,cell line	All_CDS	54
strictest	Organism part,cancer,cell line	All_UTR	33
strictest	Organism part,cancer,cell line	All_exon_coding	384
strictest	Organism part,cancer,cell line	All_exon_noncoding	524
strictest	Organism part,cancer,cell line	All_intergene	53
strictest	Organism part,cancer,cell line	All_intron	130
strictest	Organism part,cancer,cell line	All_transcript	23
strictest	Organism part,cancer,cell line	All_transcript_coding	787
strictest	Organism part,cancer,cell line	All_transcript_noncoding	68
strictest	Organism part,cancer,cell line	other	185
strictest	Organism part,cell line	All_CDS	30
strictest	Organism part,cell line	All_UTR	13
strictest	Organism part,cell line	All_exon_coding	180
strictest	Organism part,cell line	All_exon_noncoding	97
strictest	Organism part,cell line	All_intergene	31
strictest	Organism part,cell line	All_intron	83
strictest	Organism part,cell line	All_transcript	5
strictest	Organism part,cell line	All_transcript_coding	312
strictest	Organism part,cell line	All_transcript_noncoding	22
strictest	Organism part,cell line	other	41
strictest	cancer	All_CDS	0
strictest	cancer	All_UTR	4
strictest	cancer	All_exon_coding	20
strictest	cancer	All_exon_noncoding	15
strictest	cancer	All_intergene	11
strictest	cancer	All_intron	15
strictest	cancer	All_transcript	1
strictest	cancer	All_transcript_coding	27
strictest	cancer	All_transcript_noncoding	4
strictest	cancer	other	4
strictest	cancer,cell line	All_CDS	16
strictest	cancer,cell line	All_UTR	17
strictest	cancer,cell line	All_exon_coding	98
strictest	cancer,cell line	All_exon_noncoding	66
strictest	cancer,cell line	All_intergene	33
strictest	cancer,cell line	All_intron	79
strictest	cancer,cell line	All_transcript	4
strictest	cancer,cell line	All_transcript_coding	173
strictest	cancer,cell line	All_transcript_noncoding	7
strictest	cancer,cell line	other	27
strictest	cell line	All_CDS	16
strictest	cell line	All_UTR	7
strictest	cell line	All_exon_coding	75
strictest	cell line	All_exon_noncoding	45
strictest	cell line	All_intergene	20
strictest	cell line	All_intron	48
strictest	cell line	All_transcript	1
strictest	cell line	All_transcript_coding	153
strictest	cell line	All_transcript_noncoding	11
strictest	cell line	other	29
strictest|pepquery	Organism part	All_CDS	14
strictest|pepquery	Organism part	All_UTR	6
strictest|pepquery	Organism part	All_exon_coding	84
strictest|pepquery	Organism part	All_exon_noncoding	30
strictest|pepquery	Organism part	All_intergene	13
strictest|pepquery	Organism part	All_intron	38
strictest|pepquery	Organism part	All_transcript	1
strictest|pepquery	Organism part	All_transcript_coding	181
strictest|pepquery	Organism part	All_transcript_noncoding	8
strictest|pepquery	Organism part	other	35
strictest|pepquery	Organism part,cancer	All_CDS	11
strictest|pepquery	Organism part,cancer	All_UTR	6
strictest|pepquery	Organism part,cancer	All_exon_coding	94
strictest|pepquery	Organism part,cancer	All_exon_noncoding	38
strictest|pepquery	Organism part,cancer	All_intergene	22
strictest|pepquery	Organism part,cancer	All_intron	41
strictest|pepquery	Organism part,cancer	All_transcript	8
strictest|pepquery	Organism part,cancer	All_transcript_coding	172
strictest|pepquery	Organism part,cancer	All_transcript_noncoding	6
strictest|pepquery	Organism part,cancer	other	26
strictest|pepquery	Organism part,cancer,cell line	All_CDS	53
strictest|pepquery	Organism part,cancer,cell line	All_UTR	27
strictest|pepquery	Organism part,cancer,cell line	All_exon_coding	380
strictest|pepquery	Organism part,cancer,cell line	All_exon_noncoding	493
strictest|pepquery	Organism part,cancer,cell line	All_intergene	42
strictest|pepquery	Organism part,cancer,cell line	All_intron	116
strictest|pepquery	Organism part,cancer,cell line	All_transcript	23
strictest|pepquery	Organism part,cancer,cell line	All_transcript_coding	771
strictest|pepquery	Organism part,cancer,cell line	All_transcript_noncoding	63
strictest|pepquery	Organism part,cancer,cell line	other	171
strictest|pepquery	Organism part,cell line	All_CDS	30
strictest|pepquery	Organism part,cell line	All_UTR	6
strictest|pepquery	Organism part,cell line	All_exon_coding	177
strictest|pepquery	Organism part,cell line	All_exon_noncoding	89
strictest|pepquery	Organism part,cell line	All_intergene	24
strictest|pepquery	Organism part,cell line	All_intron	61
strictest|pepquery	Organism part,cell line	All_transcript	4
strictest|pepquery	Organism part,cell line	All_transcript_coding	299
strictest|pepquery	Organism part,cell line	All_transcript_noncoding	20
strictest|pepquery	Organism part,cell line	other	39
strictest|pepquery	cancer	All_CDS	0
strictest|pepquery	cancer	All_UTR	2
strictest|pepquery	cancer	All_exon_coding	19
strictest|pepquery	cancer	All_exon_noncoding	13
strictest|pepquery	cancer	All_intergene	9
strictest|pepquery	cancer	All_intron	9
strictest|pepquery	cancer	All_transcript	1
strictest|pepquery	cancer	All_transcript_coding	24
strictest|pepquery	cancer	All_transcript_noncoding	4
strictest|pepquery	cancer	other	4
strictest|pepquery	cancer,cell line	All_CDS	16
strictest|pepquery	cancer,cell line	All_UTR	16
strictest|pepquery	cancer,cell line	All_exon_coding	98
strictest|pepquery	cancer,cell line	All_exon_noncoding	65
strictest|pepquery	cancer,cell line	All_intergene	30
strictest|pepquery	cancer,cell line	All_intron	67
strictest|pepquery	cancer,cell line	All_transcript	3
strictest|pepquery	cancer,cell line	All_transcript_coding	162
strictest|pepquery	cancer,cell line	All_transcript_noncoding	7
strictest|pepquery	cancer,cell line	other	25
strictest|pepquery	cell line	All_CDS	15
strictest|pepquery	cell line	All_UTR	7
strictest|pepquery	cell line	All_exon_coding	75
strictest|pepquery	cell line	All_exon_noncoding	44
strictest|pepquery	cell line	All_intergene	15
strictest|pepquery	cell line	All_intron	43
strictest|pepquery	cell line	All_transcript	1
strictest|pepquery	cell line	All_transcript_coding	147
strictest|pepquery	cell line	All_transcript_noncoding	10
strictest|pepquery	cell line	other	28
stringent	Organism part	All_CDS	80
stringent	Organism part	All_UTR	104
stringent	Organism part	All_exon_coding	500
stringent	Organism part	All_exon_noncoding	200
stringent	Organism part	All_intergene	344
stringent	Organism part	All_intron	659
stringent	Organism part	All_transcript	19
stringent	Organism part	All_transcript_coding	1155
stringent	Organism part	All_transcript_noncoding	62
stringent	Organism part	other	165
stringent	Organism part,cancer	All_CDS	12
stringent	Organism part,cancer	All_UTR	7
stringent	Organism part,cancer	All_exon_coding	110
stringent	Organism part,cancer	All_exon_noncoding	46
stringent	Organism part,cancer	All_intergene	32
stringent	Organism part,cancer	All_intron	56
stringent	Organism part,cancer	All_transcript	9
stringent	Organism part,cancer	All_transcript_coding	200
stringent	Organism part,cancer	All_transcript_noncoding	8
stringent	Organism part,cancer	other	37
stringent	Organism part,cancer,cell line	All_CDS	56
stringent	Organism part,cancer,cell line	All_UTR	33
stringent	Organism part,cancer,cell line	All_exon_coding	397
stringent	Organism part,cancer,cell line	All_exon_noncoding	545
stringent	Organism part,cancer,cell line	All_intergene	54
stringent	Organism part,cancer,cell line	All_intron	130
stringent	Organism part,cancer,cell line	All_transcript	23
stringent	Organism part,cancer,cell line	All_transcript_coding	806
stringent	Organism part,cancer,cell line	All_transcript_noncoding	72
stringent	Organism part,cancer,cell line	other	195
stringent	Organism part,cell line	All_CDS	34
stringent	Organism part,cell line	All_UTR	14
stringent	Organism part,cell line	All_exon_coding	206
stringent	Organism part,cell line	All_exon_noncoding	120
stringent	Organism part,cell line	All_intergene	35
stringent	Organism part,cell line	All_intron	96
stringent	Organism part,cell line	All_transcript	5
stringent	Organism part,cell line	All_transcript_coding	394
stringent	Organism part,cell line	All_transcript_noncoding	23
stringent	Organism part,cell line	other	49
stringent	cancer	All_CDS	27
stringent	cancer	All_UTR	53
stringent	cancer	All_exon_coding	190
stringent	cancer	All_exon_noncoding	124
stringent	cancer	All_intergene	171
stringent	cancer	All_intron	393
stringent	cancer	All_transcript	11
stringent	cancer	All_transcript_coding	412
stringent	cancer	All_transcript_noncoding	29
stringent	cancer	other	73
stringent	cancer,cell line	All_CDS	18
stringent	cancer,cell line	All_UTR	19
stringent	cancer,cell line	All_exon_coding	116
stringent	cancer,cell line	All_exon_noncoding	80
stringent	cancer,cell line	All_intergene	35
stringent	cancer,cell line	All_intron	86
stringent	cancer,cell line	All_transcript	6
stringent	cancer,cell line	All_transcript_coding	206
stringent	cancer,cell line	All_transcript_noncoding	10
stringent	cancer,cell line	other	33
stringent	cell line	All_CDS	81
stringent	cell line	All_UTR	101
stringent	cell line	All_exon_coding	512
stringent	cell line	All_exon_noncoding	296
stringent	cell line	All_intergene	269
stringent	cell line	All_intron	669
stringent	cell line	All_transcript	14
stringent	cell line	All_transcript_coding	1035
stringent	cell line	All_transcript_noncoding	70
stringent	cell line	other	206
stringent|pepquery	Organism part	All_CDS	62
stringent|pepquery	Organism part	All_UTR	57
stringent|pepquery	Organism part	All_exon_coding	420
stringent|pepquery	Organism part	All_exon_noncoding	139
stringent|pepquery	Organism part	All_intergene	179
stringent|pepquery	Organism part	All_intron	363
stringent|pepquery	Organism part	All_transcript	16
stringent|pepquery	Organism part	All_transcript_coding	924
stringent|pepquery	Organism part	All_transcript_noncoding	37
stringent|pepquery	Organism part	other	131
stringent|pepquery	Organism part,cancer	All_CDS	12
stringent|pepquery	Organism part,cancer	All_UTR	6
stringent|pepquery	Organism part,cancer	All_exon_coding	102
stringent|pepquery	Organism part,cancer	All_exon_noncoding	39
stringent|pepquery	Organism part,cancer	All_intergene	24
stringent|pepquery	Organism part,cancer	All_intron	44
stringent|pepquery	Organism part,cancer	All_transcript	9
stringent|pepquery	Organism part,cancer	All_transcript_coding	184
stringent|pepquery	Organism part,cancer	All_transcript_noncoding	7
stringent|pepquery	Organism part,cancer	other	31
stringent|pepquery	Organism part,cancer,cell line	All_CDS	55
stringent|pepquery	Organism part,cancer,cell line	All_UTR	27
stringent|pepquery	Organism part,cancer,cell line	All_exon_coding	388
stringent|pepquery	Organism part,cancer,cell line	All_exon_noncoding	511
stringent|pepquery	Organism part,cancer,cell line	All_intergene	44
stringent|pepquery	Organism part,cancer,cell line	All_intron	116
stringent|pepquery	Organism part,cancer,cell line	All_transcript	23
stringent|pepquery	Organism part,cancer,cell line	All_transcript_coding	786
stringent|pepquery	Organism part,cancer,cell line	All_transcript_noncoding	65
stringent|pepquery	Organism part,cancer,cell line	other	178
stringent|pepquery	Organism part,cell line	All_CDS	34
stringent|pepquery	Organism part,cell line	All_UTR	7
stringent|pepquery	Organism part,cell line	All_exon_coding	198
stringent|pepquery	Organism part,cell line	All_exon_noncoding	101
stringent|pepquery	Organism part,cell line	All_intergene	26
stringent|pepquery	Organism part,cell line	All_intron	71
stringent|pepquery	Organism part,cell line	All_transcript	4
stringent|pepquery	Organism part,cell line	All_transcript_coding	363
stringent|pepquery	Organism part,cell line	All_transcript_noncoding	21
stringent|pepquery	Organism part,cell line	other	42
stringent|pepquery	cancer	All_CDS	23
stringent|pepquery	cancer	All_UTR	32
stringent|pepquery	cancer	All_exon_coding	159
stringent|pepquery	cancer	All_exon_noncoding	96
stringent|pepquery	cancer	All_intergene	106
stringent|pepquery	cancer	All_intron	224
stringent|pepquery	cancer	All_transcript	9
stringent|pepquery	cancer	All_transcript_coding	309
stringent|pepquery	cancer	All_transcript_noncoding	23
stringent|pepquery	cancer	other	48
stringent|pepquery	cancer,cell line	All_CDS	18
stringent|pepquery	cancer,cell line	All_UTR	18
stringent|pepquery	cancer,cell line	All_exon_coding	116
stringent|pepquery	cancer,cell line	All_exon_noncoding	76
stringent|pepquery	cancer,cell line	All_intergene	29
stringent|pepquery	cancer,cell line	All_intron	72
stringent|pepquery	cancer,cell line	All_transcript	4
stringent|pepquery	cancer,cell line	All_transcript_coding	190
stringent|pepquery	cancer,cell line	All_transcript_noncoding	10
stringent|pepquery	cancer,cell line	other	28
stringent|pepquery	cell line	All_CDS	68
stringent|pepquery	cell line	All_UTR	63
stringent|pepquery	cell line	All_exon_coding	451
stringent|pepquery	cell line	All_exon_noncoding	226
stringent|pepquery	cell line	All_intergene	151
stringent|pepquery	cell line	All_intron	362
stringent|pepquery	cell line	All_transcript	13
stringent|pepquery	cell line	All_transcript_coding	826
stringent|pepquery	cell line	All_transcript_noncoding	56
stringent|pepquery	cell line	other	156
