keyword	protein_len	gencode_loc	pr_count
relaxed|pepquery	200-500	All_intron	179
relaxed|pepquery	200-500	All_transcript	62
relaxed|pepquery	200-500	All_transcript_coding	2917
relaxed|pepquery	200-500	All_transcript_noncoding	97
relaxed|pepquery	200-500	other	470
relaxed|pepquery	50-100	All_CDS	73
relaxed|pepquery	50-100	All_UTR	876
relaxed|pepquery	50-100	All_exon_coding	344
relaxed|pepquery	50-100	All_exon_noncoding	1032
relaxed|pepquery	50-100	All_intergene	2821
relaxed|pepquery	50-100	All_intron	6418
relaxed|pepquery	50-100	All_transcript	24
relaxed|pepquery	50-100	All_transcript_coding	1499
relaxed|pepquery	50-100	All_transcript_noncoding	320
relaxed|pepquery	50-100	other	423
relaxed|pepquery	<= 50	All_CDS	46
relaxed|pepquery	<= 50	All_UTR	934
relaxed|pepquery	<= 50	All_exon_coding	120
relaxed|pepquery	<= 50	All_exon_noncoding	718
relaxed|pepquery	<= 50	All_intergene	2997
relaxed|pepquery	<= 50	All_intron	7643
relaxed|pepquery	<= 50	All_transcript	2
relaxed|pepquery	<= 50	All_transcript_coding	586
relaxed|pepquery	<= 50	All_transcript_noncoding	119
relaxed|pepquery	<= 50	other	145
relaxed|pepquery	>500	All_CDS	107
relaxed|pepquery	>500	All_UTR	0
relaxed|pepquery	>500	All_exon_coding	810
relaxed|pepquery	>500	All_exon_noncoding	10
relaxed|pepquery	>500	All_intergene	2
relaxed|pepquery	>500	All_intron	10
relaxed|pepquery	>500	All_transcript	21
relaxed|pepquery	>500	All_transcript_coding	1257
relaxed|pepquery	>500	All_transcript_noncoding	13
relaxed|pepquery	>500	other	106
strictest	100-200	All_CDS	29
strictest	100-200	All_UTR	16
strictest	100-200	All_exon_coding	176
strictest	100-200	All_exon_noncoding	301
strictest	100-200	All_intergene	31
strictest	100-200	All_intron	45
strictest	100-200	All_transcript	10
strictest	100-200	All_transcript_coding	453
strictest	100-200	All_transcript_noncoding	58
strictest	100-200	other	130
strictest	200-500	All_CDS	54
strictest	200-500	All_UTR	7
strictest	200-500	All_exon_coding	418
strictest	200-500	All_exon_noncoding	106
strictest	200-500	All_intergene	5
strictest	200-500	All_intron	3
strictest	200-500	All_transcript	21
strictest	200-500	All_transcript_coding	725
strictest	200-500	All_transcript_noncoding	27
strictest	200-500	other	123
strictest	50-100	All_CDS	16
strictest	50-100	All_UTR	30
strictest	50-100	All_exon_coding	71
strictest	50-100	All_exon_noncoding	303
strictest	50-100	All_intergene	75
strictest	50-100	All_intron	175
strictest	50-100	All_transcript	6
strictest	50-100	All_transcript_coding	199
strictest	50-100	All_transcript_noncoding	33
strictest	50-100	other	60
strictest	<= 50	All_CDS	0
strictest	<= 50	All_UTR	35
strictest	<= 50	All_exon_coding	11
strictest	<= 50	All_exon_noncoding	107
strictest	<= 50	All_intergene	84
strictest	<= 50	All_intron	228
strictest	<= 50	All_transcript	0
strictest	<= 50	All_transcript_coding	44
strictest	<= 50	All_transcript_noncoding	6
strictest	<= 50	other	17
strictest	>500	All_CDS	42
strictest	>500	All_UTR	0
strictest	>500	All_exon_coding	269
strictest	>500	All_exon_noncoding	4
strictest	>500	All_intergene	0
strictest	>500	All_intron	1
strictest	>500	All_transcript	6
strictest	>500	All_transcript_coding	397
strictest	>500	All_transcript_noncoding	3
strictest	>500	other	27
strictest|pepquery	100-200	All_CDS	29
strictest|pepquery	100-200	All_UTR	15
strictest|pepquery	100-200	All_exon_coding	172
strictest|pepquery	100-200	All_exon_noncoding	280
strictest|pepquery	100-200	All_intergene	27
strictest|pepquery	100-200	All_intron	37
strictest|pepquery	100-200	All_transcript	10
strictest|pepquery	100-200	All_transcript_coding	431
strictest|pepquery	100-200	All_transcript_noncoding	55
strictest|pepquery	100-200	other	117
strictest|pepquery	200-500	All_CDS	53
strictest|pepquery	200-500	All_UTR	7
strictest|pepquery	200-500	All_exon_coding	411
strictest|pepquery	200-500	All_exon_noncoding	99
strictest|pepquery	200-500	All_intergene	5
strictest|pepquery	200-500	All_intron	3
strictest|pepquery	200-500	All_transcript	20
strictest|pepquery	200-500	All_transcript_coding	706
strictest|pepquery	200-500	All_transcript_noncoding	25
strictest|pepquery	200-500	other	118
strictest|pepquery	50-100	All_CDS	15
strictest|pepquery	50-100	All_UTR	22
strictest|pepquery	50-100	All_exon_coding	67
strictest|pepquery	50-100	All_exon_noncoding	286
strictest|pepquery	50-100	All_intergene	58
strictest|pepquery	50-100	All_intron	147
strictest|pepquery	50-100	All_transcript	5
strictest|pepquery	50-100	All_transcript_coding	190
strictest|pepquery	50-100	All_transcript_noncoding	29
strictest|pepquery	50-100	other	53
strictest|pepquery	<= 50	All_CDS	0
strictest|pepquery	<= 50	All_UTR	26
strictest|pepquery	<= 50	All_exon_coding	11
strictest|pepquery	<= 50	All_exon_noncoding	103
strictest|pepquery	<= 50	All_intergene	65
strictest|pepquery	<= 50	All_intron	187
strictest|pepquery	<= 50	All_transcript	0
strictest|pepquery	<= 50	All_transcript_coding	38
strictest|pepquery	<= 50	All_transcript_noncoding	6
strictest|pepquery	<= 50	other	14
strictest|pepquery	>500	All_CDS	42
strictest|pepquery	>500	All_UTR	0
strictest|pepquery	>500	All_exon_coding	266
strictest|pepquery	>500	All_exon_noncoding	4
strictest|pepquery	>500	All_intergene	0
strictest|pepquery	>500	All_intron	1
strictest|pepquery	>500	All_transcript	6
strictest|pepquery	>500	All_transcript_coding	391
strictest|pepquery	>500	All_transcript_noncoding	3
strictest|pepquery	>500	other	26
stringent	100-200	All_CDS	66
stringent	100-200	All_UTR	51
stringent	100-200	All_exon_coding	398
stringent	100-200	All_exon_noncoding	500
stringent	100-200	All_intergene	140
stringent	100-200	All_intron	211
stringent	100-200	All_transcript	23
stringent	100-200	All_transcript_coding	1039
stringent	100-200	All_transcript_noncoding	103
stringent	100-200	other	274
stringent	200-500	All_CDS	129
stringent	200-500	All_UTR	8
stringent	200-500	All_exon_coding	850
stringent	200-500	All_exon_noncoding	176
stringent	200-500	All_intergene	19
stringent	200-500	All_intron	16
stringent	200-500	All_transcript	39
stringent	200-500	All_transcript_coding	1666
stringent	200-500	All_transcript_noncoding	53
stringent	200-500	other	251
stringent	50-100	All_CDS	28
stringent	50-100	All_UTR	143
stringent	50-100	All_exon_coding	156
stringent	50-100	All_exon_noncoding	526
stringent	50-100	All_intergene	372
stringent	50-100	All_intron	845
stringent	50-100	All_transcript	11
stringent	50-100	All_transcript_coding	509
stringent	50-100	All_transcript_noncoding	86
stringent	50-100	other	125
stringent	<= 50	All_CDS	6
stringent	<= 50	All_UTR	129
stringent	<= 50	All_exon_coding	31
stringent	<= 50	All_exon_noncoding	201
stringent	<= 50	All_intergene	408
stringent	<= 50	All_intron	1015
stringent	<= 50	All_transcript	1
stringent	<= 50	All_transcript_coding	138
stringent	<= 50	All_transcript_noncoding	26
stringent	<= 50	other	42
stringent	>500	All_CDS	79
stringent	>500	All_UTR	0
stringent	>500	All_exon_coding	596
stringent	>500	All_exon_noncoding	8
stringent	>500	All_intergene	1
stringent	>500	All_intron	2
stringent	>500	All_transcript	13
stringent	>500	All_transcript_coding	856
stringent	>500	All_transcript_noncoding	6
stringent	>500	other	66
stringent|pepquery	100-200	All_CDS	57
stringent|pepquery	100-200	All_UTR	32
stringent|pepquery	100-200	All_exon_coding	352
stringent|pepquery	100-200	All_exon_noncoding	425
stringent|pepquery	100-200	All_intergene	85
stringent|pepquery	100-200	All_intron	129
stringent|pepquery	100-200	All_transcript	20
stringent|pepquery	100-200	All_transcript_coding	863
stringent|pepquery	100-200	All_transcript_noncoding	88
stringent|pepquery	100-200	other	227
stringent|pepquery	200-500	All_CDS	115
stringent|pepquery	200-500	All_UTR	8
stringent|pepquery	200-500	All_exon_coding	778
stringent|pepquery	200-500	All_exon_noncoding	149
stringent|pepquery	200-500	All_intergene	13
stringent|pepquery	200-500	All_intron	11
stringent|pepquery	200-500	All_transcript	36
stringent|pepquery	200-500	All_transcript_coding	1463
stringent|pepquery	200-500	All_transcript_noncoding	44
stringent|pepquery	200-500	other	213
stringent|pepquery	50-100	All_CDS	23
stringent|pepquery	50-100	All_UTR	89
stringent|pepquery	50-100	All_exon_coding	129
stringent|pepquery	50-100	All_exon_noncoding	439
stringent|pepquery	50-100	All_intergene	208
stringent|pepquery	50-100	All_intron	508
stringent|pepquery	50-100	All_transcript	8
stringent|pepquery	50-100	All_transcript_coding	412
stringent|pepquery	50-100	All_transcript_noncoding	63
stringent|pepquery	50-100	other	91
stringent|pepquery	<= 50	All_CDS	2
stringent|pepquery	<= 50	All_UTR	81
stringent|pepquery	<= 50	All_exon_coding	26
stringent|pepquery	<= 50	All_exon_noncoding	168
stringent|pepquery	<= 50	All_intergene	253
stringent|pepquery	<= 50	All_intron	603
stringent|pepquery	<= 50	All_transcript	1
stringent|pepquery	<= 50	All_transcript_coding	93
stringent|pepquery	<= 50	All_transcript_noncoding	19
stringent|pepquery	<= 50	other	26
stringent|pepquery	>500	All_CDS	75
stringent|pepquery	>500	All_UTR	0
stringent|pepquery	>500	All_exon_coding	549
stringent|pepquery	>500	All_exon_noncoding	7
stringent|pepquery	>500	All_intergene	0
stringent|pepquery	>500	All_intron	1
stringent|pepquery	>500	All_transcript	13
stringent|pepquery	>500	All_transcript_coding	751
stringent|pepquery	>500	All_transcript_noncoding	5
stringent|pepquery	>500	other	57
