keyword	protein_len	pride_group	pr_count
strictest|pepquery	100-200	Organism part,cell line	186
strictest|pepquery	100-200	cancer	18
strictest|pepquery	100-200	cancer,cell line	114
strictest|pepquery	100-200	cell line	87
strictest|pepquery	200-500	Organism part	131
strictest|pepquery	200-500	Organism part,cancer	139
strictest|pepquery	200-500	Organism part,cancer,cell line	670
strictest|pepquery	200-500	Organism part,cell line	223
strictest|pepquery	200-500	cancer	24
strictest|pepquery	200-500	cancer,cell line	145
strictest|pepquery	200-500	cell line	115
strictest|pepquery	50-100	Organism part	65
strictest|pepquery	50-100	Organism part,cancer	87
strictest|pepquery	50-100	Organism part,cancer,cell line	400
strictest|pepquery	50-100	Organism part,cell line	136
strictest|pepquery	50-100	cancer	20
strictest|pepquery	50-100	cancer,cell line	94
strictest|pepquery	50-100	cell line	70
strictest|pepquery	<= 50	Organism part	40
strictest|pepquery	<= 50	Organism part,cancer	36
strictest|pepquery	<= 50	Organism part,cancer,cell line	195
strictest|pepquery	<= 50	Organism part,cell line	63
strictest|pepquery	<= 50	cancer	13
strictest|pepquery	<= 50	cancer,cell line	66
strictest|pepquery	<= 50	cell line	37
strictest|pepquery	>500	Organism part	73
strictest|pepquery	>500	Organism part,cancer	62
strictest|pepquery	>500	Organism part,cancer,cell line	307
strictest|pepquery	>500	Organism part,cell line	141
strictest|pepquery	>500	cancer	10
strictest|pepquery	>500	cancer,cell line	70
strictest|pepquery	>500	cell line	76
stringent	100-200	Organism part	685
stringent	100-200	Organism part,cancer	122
stringent	100-200	Organism part,cancer,cell line	612
stringent	100-200	Organism part,cell line	247
stringent	100-200	cancer	315
stringent	100-200	cancer,cell line	145
stringent	100-200	cell line	679
stringent	200-500	Organism part	794
stringent	200-500	Organism part,cancer	157
stringent	200-500	Organism part,cancer,cell line	714
stringent	200-500	Organism part,cell line	283
stringent	200-500	cancer	294
stringent	200-500	cancer,cell line	191
stringent	200-500	cell line	774
stringent	50-100	Organism part	788
stringent	50-100	Organism part,cancer	109
stringent	50-100	Organism part,cancer,cell line	447
stringent	50-100	Organism part,cell line	178
stringent	50-100	cancer	407
stringent	50-100	cancer,cell line	113
stringent	50-100	cell line	759
stringent	<= 50	Organism part	611
stringent	<= 50	Organism part,cancer	52
stringent	<= 50	Organism part,cancer,cell line	218
stringent	<= 50	Organism part,cell line	99
stringent	<= 50	cancer	338
stringent	<= 50	cancer,cell line	81
stringent	<= 50	cell line	598
stringent	>500	Organism part	410
stringent	>500	Organism part,cancer	77
stringent	>500	Organism part,cancer,cell line	320
stringent	>500	Organism part,cell line	169
stringent	>500	cancer	129
stringent	>500	cancer,cell line	79
stringent	>500	cell line	443
stringent|pepquery	100-200	Organism part	504
stringent|pepquery	100-200	Organism part,cancer	110
stringent|pepquery	100-200	Organism part,cancer,cell line	581
stringent|pepquery	100-200	Organism part,cell line	212
stringent|pepquery	100-200	cancer	235
stringent|pepquery	100-200	cancer,cell line	136
stringent|pepquery	100-200	cell line	500
stringent|pepquery	200-500	Organism part	662
stringent|pepquery	200-500	Organism part,cancer	149
stringent|pepquery	200-500	Organism part,cancer,cell line	686
stringent|pepquery	200-500	Organism part,cell line	270
stringent|pepquery	200-500	cancer	233
stringent|pepquery	200-500	cancer,cell line	178
stringent|pepquery	200-500	cell line	652
stringent|pepquery	50-100	Organism part	473
stringent|pepquery	50-100	Organism part,cancer	91
stringent|pepquery	50-100	Organism part,cancer,cell line	415
stringent|pepquery	50-100	Organism part,cell line	150
stringent|pepquery	50-100	cancer	247
stringent|pepquery	50-100	cancer,cell line	99
stringent|pepquery	50-100	cell line	495
stringent|pepquery	<= 50	Organism part	348
stringent|pepquery	<= 50	Organism part,cancer	38
stringent|pepquery	<= 50	Organism part,cancer,cell line	195
stringent|pepquery	<= 50	Organism part,cell line	72
stringent|pepquery	<= 50	cancer	209
stringent|pepquery	<= 50	cancer,cell line	71
stringent|pepquery	<= 50	cell line	339
stringent|pepquery	>500	Organism part	341
stringent|pepquery	>500	Organism part,cancer	70
stringent|pepquery	>500	Organism part,cancer,cell line	316
stringent|pepquery	>500	Organism part,cell line	163
stringent|pepquery	>500	cancer	105
stringent|pepquery	>500	cancer,cell line	77
stringent|pepquery	>500	cell line	386
